Model,DPO3014
Firmware Version,2.23

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Vertical Position,0
Label,
TIME,CH1
-8.098e-02,-0.2
-8.096e-02,0.2
-8.094e-02,0.6
-8.092e-02,0
-8.090e-02,0
-8.088e-02,0.6
-8.086e-02,0.6
-8.084e-02,0
-8.082e-02,0.6
-8.080e-02,0
-8.078e-02,-0.2
-8.076e-02,0.8
-8.074e-02,0.4
-8.072e-02,0
-8.070e-02,0.4
-8.068e-02,1
-8.066e-02,-0.2
-8.064e-02,0.4
-8.062e-02,0.8
-8.060e-02,-0.2
-8.058e-02,0
-8.056e-02,1
-8.054e-02,0
-8.052e-02,0
-8.050e-02,0.8
-8.048e-02,0
-8.046e-02,-0.4
-8.044e-02,1.2
-8.042e-02,0.2
-8.040e-02,-0.4
-8.038e-02,0.6
-8.036e-02,0.8
-8.034e-02,0
-8.032e-02,-0.6
-8.030e-02,1
-8.028e-02,0
-8.026e-02,0.4
-8.024e-02,0.4
-8.022e-02,-0.2
-8.020e-02,0
-8.018e-02,0.6
-8.016e-02,-0.2
-8.014e-02,0.4
-8.012e-02,0.6
-8.010e-02,0
-8.008e-02,0
-8.006e-02,0.4
-8.004e-02,-0.2
-8.002e-02,0
-8.000e-02,0.2
-7.998e-02,0.2
-7.996e-02,0
-7.994e-02,0
-7.992e-02,0
-7.990e-02,0.2
-7.988e-02,0.2
-7.986e-02,-0.2
-7.984e-02,0.2
-7.982e-02,0.4
-7.980e-02,0
-7.978e-02,0.2
-7.976e-02,0
-7.974e-02,0.6
-7.972e-02,0.2
-7.970e-02,0.6
-7.968e-02,0
-7.966e-02,0.4
-7.964e-02,1
-7.962e-02,0.2
-7.960e-02,0.2
-7.958e-02,1.4
-7.956e-02,0
-7.954e-02,-0.8
-7.952e-02,1.2
-7.950e-02,0.8
-7.948e-02,-1
-7.946e-02,0.4
-7.944e-02,1.8
-7.942e-02,-0.2
-7.940e-02,0.2
-7.938e-02,1.2
-7.936e-02,-0.6
-7.934e-02,0.4
-7.932e-02,0.8
-7.930e-02,-0.2
-7.928e-02,-0.2
-7.926e-02,0.6
-7.924e-02,0.4
-7.922e-02,-0.2
-7.920e-02,1.2
-7.918e-02,0.4
-7.916e-02,-0.2
-7.914e-02,0.4
-7.912e-02,0.8
-7.910e-02,0
-7.908e-02,0.2
-7.906e-02,1
-7.904e-02,0
-7.902e-02,0.2
-7.900e-02,1
-7.898e-02,0
-7.896e-02,0
-7.894e-02,0.6
-7.892e-02,0.4
-7.890e-02,0
-7.888e-02,0.4
-7.886e-02,0.2
-7.884e-02,0
-7.882e-02,0.6
-7.880e-02,0.4
-7.878e-02,0
-7.876e-02,0
-7.874e-02,0.4
-7.872e-02,0
-7.870e-02,0
-7.868e-02,0.8
-7.866e-02,0
-7.864e-02,0
-7.862e-02,0.2
-7.860e-02,-0.2
-7.858e-02,0
-7.856e-02,0.4
-7.854e-02,0.4
-7.852e-02,0
-7.850e-02,0.4
-7.848e-02,0.2
-7.846e-02,-0.2
-7.844e-02,0.2
-7.842e-02,0.8
-7.840e-02,-0.2
-7.838e-02,0
-7.836e-02,0.8
-7.834e-02,0
-7.832e-02,0
-7.830e-02,1
-7.828e-02,0.2
-7.826e-02,0
-7.824e-02,0.2
-7.822e-02,0.2
-7.820e-02,0
-7.818e-02,0.6
-7.816e-02,0.4
-7.814e-02,-0.2
-7.812e-02,0.2
-7.810e-02,0.4
-7.808e-02,0
-7.806e-02,0
-7.804e-02,0.6
-7.802e-02,0.4
-7.800e-02,0.2
-7.798e-02,0.6
-7.796e-02,0
-7.794e-02,0
-7.792e-02,0.4
-7.790e-02,0.4
-7.788e-02,-0.2
-7.786e-02,0.2
-7.784e-02,0.2
-7.782e-02,0.4
-7.780e-02,0.2
-7.778e-02,0.4
-7.776e-02,0
-7.774e-02,0.2
-7.772e-02,0.4
-7.770e-02,0
-7.768e-02,0
-7.766e-02,0.8
-7.764e-02,0.4
-7.762e-02,0
-7.760e-02,0.4
-7.758e-02,0.2
-7.756e-02,0
-7.754e-02,0
-7.752e-02,0.4
-7.750e-02,0
-7.748e-02,0.2
-7.746e-02,0.6
-7.744e-02,0.2
-7.742e-02,0.4
-7.740e-02,0.2
-7.738e-02,0.2
-7.736e-02,0
-7.734e-02,0.2
-7.732e-02,0.4
-7.730e-02,0
-7.728e-02,0.4
-7.726e-02,0.4
-7.724e-02,0.2
-7.722e-02,0.4
-7.720e-02,0.4
-7.718e-02,0
-7.716e-02,0
-7.714e-02,0
-7.712e-02,0
-7.710e-02,0
-7.708e-02,0.4
-7.706e-02,0
-7.704e-02,-0.2
-7.702e-02,0.2
-7.700e-02,0.2
-7.698e-02,0
-7.696e-02,0.6
-7.694e-02,0.2
-7.692e-02,1
-7.690e-02,1.8
-7.688e-02,1.4
-7.686e-02,2
-7.684e-02,3
