Model,DPO3014
Firmware Version,2.23

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
Label,
TIME,CH1
-9.368e-02,3.12
-9.366e-02,3.12
-9.364e-02,2.88
-9.362e-02,2.96
-9.360e-02,3.04
-9.358e-02,2.96
-9.356e-02,2.8
-9.354e-02,2.72
-9.352e-02,2.64
-9.350e-02,2.64
-9.348e-02,2.64
-9.346e-02,2.72
-9.344e-02,2.8
-9.342e-02,2.48
-9.340e-02,2.56
-9.338e-02,2.56
-9.336e-02,2.56
-9.334e-02,2.56
-9.332e-02,2.4
-9.330e-02,2.4
-9.328e-02,2.32
-9.326e-02,2.48
-9.324e-02,2.24
-9.322e-02,2.16
-9.320e-02,2.16
-9.318e-02,2.16
-9.316e-02,2.24
-9.314e-02,2.16
-9.312e-02,2.08
-9.310e-02,2.16
-9.308e-02,2.24
-9.306e-02,2.32
-9.304e-02,2.16
-9.302e-02,2
-9.300e-02,1.92
-9.298e-02,2.08
-9.296e-02,1.76
-9.294e-02,2.16
-9.292e-02,2.08
-9.290e-02,2
-9.288e-02,1.76
-9.286e-02,1.76
-9.284e-02,1.92
-9.282e-02,1.92
-9.280e-02,2
-9.278e-02,2.08
-9.276e-02,1.68
-9.274e-02,1.76
-9.272e-02,1.6
-9.270e-02,1.44
-9.268e-02,1.52
-9.266e-02,1.76
-9.264e-02,1.76
-9.262e-02,1.84
-9.260e-02,1.52
-9.258e-02,1.44
-9.256e-02,1.52
-9.254e-02,1.44
-9.252e-02,1.44
-9.250e-02,1.44
-9.248e-02,1.36
-9.246e-02,1.44
-9.244e-02,1.2
-9.242e-02,1.36
-9.240e-02,1.52
-9.238e-02,1.28
-9.236e-02,1.2
-9.234e-02,1.2
-9.232e-02,1.12
-9.230e-02,1.2
-9.228e-02,1.2
-9.226e-02,1.2
-9.224e-02,1.2
-9.222e-02,1.04
-9.220e-02,1.04
-9.218e-02,1.04
-9.216e-02,0.88
-9.214e-02,0.8
-9.212e-02,0.8
-9.210e-02,0.8
-9.208e-02,0.72
-9.206e-02,0.72
-9.204e-02,0.72
-9.202e-02,0.4
-9.200e-02,0.64
-9.198e-02,0.64
-9.196e-02,0.72
-9.194e-02,0.64
-9.192e-02,0.56
-9.190e-02,0.64
-9.188e-02,0.4
-9.186e-02,0.4
-9.184e-02,0.32
-9.182e-02,0.24
-9.180e-02,0.24
-9.178e-02,0.24
-9.176e-02,0.32
-9.174e-02,0.08
-9.172e-02,0.24
-9.170e-02,0.16
-9.168e-02,0.24
-9.166e-02,0.24
-9.164e-02,0.08
-9.162e-02,0
-9.160e-02,-0.08
-9.158e-02,0
-9.156e-02,-0.08
-9.154e-02,-0.08
-9.152e-02,-0.08
-9.150e-02,0.08
-9.148e-02,-0.08
-9.146e-02,0.24
-9.144e-02,1.76
-9.142e-02,0.4
-9.140e-02,0.8
-9.138e-02,0.64
-9.136e-02,0
-9.134e-02,-0.48
-9.132e-02,-0.96
-9.130e-02,-0.24
-9.128e-02,-0.56
-9.126e-02,-0.64
-9.124e-02,-0.96
-9.122e-02,-1.12
-9.120e-02,-1.12
-9.118e-02,-1.36
-9.116e-02,-1.68
-9.114e-02,-1.2
-9.112e-02,0.4
-9.110e-02,0
-9.108e-02,-0.08
-9.106e-02,-0.64
-9.104e-02,-0.48
-9.102e-02,-0.64
-9.100e-02,-0.72
-9.098e-02,-0.48
-9.096e-02,-0.32
-9.094e-02,-0.56
-9.092e-02,-0.8
-9.090e-02,-0.56
-9.088e-02,-0.56
-9.086e-02,-0.64
-9.084e-02,-0.8
-9.082e-02,-0.88
-9.080e-02,-0.8
-9.078e-02,-0.88
-9.076e-02,-0.88
-9.074e-02,-0.96
-9.072e-02,-0.96
-9.070e-02,-0.88
-9.068e-02,-1.04
-9.066e-02,-0.88
