Model,DPO3014
Firmware Version,2.23
,
Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,0.0002
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,0
Label,
TIME,CH1
5.56E-02,0.28
5.58E-02,0.152
5.60E-02,0.228
5.62E-02,0.108
5.64E-02,0.088
5.66E-02,0.068
5.68E-02,0.06
5.70E-02,0.048
5.72E-02,0.044
5.74E-02,0.056
5.76E-02,0.048
5.78E-02,0.032
5.80E-02,0.028
5.82E-02,0.02
5.84E-02,0.008
5.86E-02,0.004
5.88E-02,0
5.90E-02,0
5.92E-02,-0.004
5.94E-02,-0.004
5.96E-02,-0.004
5.98E-02,-0.004
6.00E-02,-0.004
6.02E-02,0.004
6.04E-02,-0.004
6.06E-02,-0.004
6.08E-02,-0.012
6.10E-02,0
6.12E-02,0
6.14E-02,0
6.16E-02,-0.004
6.18E-02,-0.012
6.20E-02,-0.004
6.22E-02,-0.004
6.24E-02,-0.004
6.26E-02,-0.012
6.28E-02,0
6.30E-02,0
6.32E-02,-0.008
6.34E-02,0
6.36E-02,-0.288
6.38E-02,-0.268
6.40E-02,-0.232
6.42E-02,-0.196
6.44E-02,-0.196
6.46E-02,-0.104
6.48E-02,-0.076
6.50E-02,-0.068
6.52E-02,-0.06
6.54E-02,-0.052
6.56E-02,-0.044
6.58E-02,-0.036
6.60E-02,-0.036
6.62E-02,-0.032
6.64E-02,-0.02
6.66E-02,-0.012
6.68E-02,0
6.70E-02,0
6.72E-02,0.008
6.74E-02,0.004
6.76E-02,0
6.78E-02,0.008
6.80E-02,0.004
6.82E-02,0.004
6.84E-02,0.008
6.86E-02,0.012
6.88E-02,0.008
6.90E-02,0
6.92E-02,0.012
6.94E-02,0
6.96E-02,0.016
6.98E-02,0.008
7.00E-02,0
7.02E-02,0.004
7.04E-02,0.008
7.06E-02,0.008
7.08E-02,0.004
7.10E-02,0.004
7.12E-02,0.008
7.14E-02,0.008
7.16E-02,0.008
7.18E-02,0.032
7.20E-02,0.316
7.22E-02,0.276
7.24E-02,0.14
7.26E-02,0.228
7.28E-02,0.144
7.30E-02,0.096
7.32E-02,0.068
7.34E-02,0.068
7.36E-02,0.06
7.38E-02,0.048
7.40E-02,0.056
7.42E-02,0.044
7.44E-02,0.04
7.46E-02,0.032
7.48E-02,0.016
7.50E-02,0.012
7.52E-02,0
7.54E-02,-0.004
7.56E-02,0
7.58E-02,-0.004
7.60E-02,-0.008
7.62E-02,-0.004
7.64E-02,-0.004
7.66E-02,-0.004
7.68E-02,-0.004
7.70E-02,-0.004
7.72E-02,0
7.74E-02,-0.004
7.76E-02,-0.004
7.78E-02,0
7.80E-02,-0.008
7.82E-02,-0.004
7.84E-02,-0.004
7.86E-02,-0.004
7.88E-02,-0.004
7.90E-02,-0.004
7.92E-02,-0.004
7.94E-02,0
7.96E-02,0
7.98E-02,0
8.00E-02,0
8.02E-02,-0.196
8.04E-02,-0.284
8.06E-02,-0.284
8.08E-02,-0.16
8.10E-02,-0.212
8.12E-02,-0.12
8.14E-02,-0.084
8.16E-02,-0.076
8.18E-02,-0.056
8.20E-02,-0.044
8.22E-02,-0.04
8.24E-02,-0.04
8.26E-02,-0.048
8.28E-02,-0.036
8.30E-02,-0.028
8.32E-02,-0.02
8.34E-02,-0.004
8.36E-02,0.008
8.38E-02,0
8.40E-02,0.008
8.42E-02,0.004
8.44E-02,0.004
8.46E-02,0
8.48E-02,0
8.50E-02,0.008
8.52E-02,0.004
8.54E-02,0
8.56E-02,0.004
8.58E-02,0
8.60E-02,0.008
8.62E-02,0
8.64E-02,0.008
8.66E-02,0.004
8.68E-02,0.012
8.70E-02,0
8.72E-02,0.008
8.74E-02,0.004
8.76E-02,0
8.78E-02,0.008
8.80E-02,0.004
8.82E-02,0.008
8.84E-02,0.012
8.86E-02,0.316
8.88E-02,0.256
8.90E-02,0.224
8.92E-02,0.2
8.94E-02,0.2
8.96E-02,0.116
8.98E-02,0.072
9.00E-02,0.068
9.02E-02,0.064
9.04E-02,0.052
9.06E-02,0.044
9.08E-02,0.036
9.10E-02,0.032
9.12E-02,0.036
9.14E-02,0.028
9.16E-02,0.016
9.18E-02,0
9.20E-02,-0.004
9.22E-02,0.004
9.24E-02,-0.012
9.26E-02,0
9.28E-02,-0.004
9.30E-02,-0.004
9.32E-02,-0.004
9.34E-02,0
9.36E-02,0.008
9.38E-02,-0.004
9.40E-02,-0.008
9.42E-02,-0.004
9.44E-02,-0.004
9.46E-02,0
9.48E-02,0
9.50E-02,0
9.52E-02,-0.004
9.54E-02,-0.004
9.56E-02,0
9.58E-02,-0.004
9.60E-02,0
9.62E-02,-0.004
9.64E-02,-0.008
9.66E-02,0
9.68E-02,-0.052
9.70E-02,-0.312
9.72E-02,-0.276
9.74E-02,-0.132
9.76E-02,-0.224
9.78E-02,-0.132
9.80E-02,-0.104
9.82E-02,-0.064
9.84E-02,-0.056
9.86E-02,-0.048
9.88E-02,-0.044
9.90E-02,-0.044
9.92E-02,-0.04
9.94E-02,-0.036
9.96E-02,-0.028
9.98E-02,-0.016
